"iso","GDB 2021 score","Country Name","Region Name","Sub Region Name"
"TUN","23","Tunisia","Africa","Africa"
"TWN","51","Taiwan","Asia","South and East Asia"
"UGA","31","Uganda","Africa","Africa"
"UKR","55","Ukraine","Europe","Eastern Europe and Central Asia"
"URY","55","Uruguay","Americas","Latin America and the Caribbean"
"USA","68","United States of America","Americas","European Union, United Kingdom, North America, Israel, Australia and New Zealand"
"UZB","32","Uzbekistan","Asia","Eastern Europe and Central Asia"
"VNM","33","Viet Nam","Asia","South and East Asia"
"XKX","40","Kosovo","Europe","Eastern Europe and Central Asia"
"ZAF","30","South Africa","Africa","Africa"
