"iso3c","SPI.INDEX","SCI","SCI_rank","ODIN_score","ODIN_rank","odb","gdb","iiag_overall","iiag_stats","country","region","income","SI.POV.DDAY","SI.POV.GINI","GE.EST","NY.GDP.PCAP.KD","HD.HCI.OVRL","SN.ITK.DEFC.ZS","SH.STA.MMRT","SE.LPV.PRIM","SG.LAW.INDX","SH.H2O.SMDW.ZS","EG.ELC.ACCS.ZS","NV.IND.MANF.ZS","EN.POP.SLUM.UR.ZS","subsidies","EN.GHG.ALL.MT.CE.AR5","ER.MRN.PTMR.ZS","ER.LND.PTLD.ZS","DT.TDS.DECT.EX.ZS","sdg_index_score","hdi_value","env_perform_index","eci_value","press_free_score","better_life_index","undernourish","severe_food_insecurity","legatum_health_index","ghsindex"
"BEL",88.5,NA,NA,51.25,90.75,42,NA,NA,NA,"Belgium","Europe & Central Asia","High income",0,26.6,1.132104218006135,44657.30943477845,0.76041966676712,2.5,5,8.52700424194335,100,99.739449377802,100,11.7081033860626,NA,0.72468,114.0017,38.0590172,15.5545855,NA,79.45505844155844,0.9325000000000001,66.8,1.1756678819656372,77.66499999999999,7.333363972749193,2.5,1.5,18,59.3
"BLR",87.8,85,15,57.95,65.5,13,19,NA,NA,"Belarus","Europe & Central Asia","Upper middle income",0,24.4,-0.921594560146332,6344.717582061739,0.700078189373016,2.5,1,NA,75.625,93.0997559157322,100,23.5016359834291,2.27611,0.14274,99.8742,NA,13.8429871,15.163449793599149,77.49529139928697,0.8075000000000001,58.2,0.7892312010129293,38.394999999999996,NA,2.5,NA,62,43.9
"BGR",87.3,86.66668333333335,11.75,68.75,30.75,34,50,NA,NA,"Bulgaria","Europe & Central Asia","High income",0.7,39,-0.11206045560538751,9585.950028627365,0.613898158073425,2.5,7,18.1856994628906,90.625,95.6543313759674,100,NA,NA,4.13414,68.383,8.1083384,41.044857,NA,74.6200475490196,0.7985,56.2,0.6805588603019714,61.05,NA,2.5,3.5,65,59.9
"GBR",87,NA,NA,57.3,67.75,75.5,65,NA,NA,"United Kingdom","Europe & Central Asia","High income",0.2,32.4,1.199616372585295,47436.9489400719,0.782942950725555,2.5,10,3.39390325546264,97.5,99.8041470058874,100,8.191915455134385,NA,0.43898,425.9522,44.0570869,27.7695599,NA,81.65314271708682,0.9265000000000001,72.6,1.7663923899332683,78.61,7.475770567260113,2.5,1.6,34,67.2
"TUR",86.9,81.1111333333333,24,57.3,65.75,31.5,NA,NA,NA,"Turkiye","Europe & Central Asia","Upper middle income",0.4,44.4,-0.2237784564495085,14384.3351094805,NA,2.5,17,18.5090885162353,82.5,NA,100,20.8276284386198,14.12611,0.44688,687.1665,1.7613034,6.9518194,20.2530175124062,70.77861136314665,0.8354999999999999,37.2,0.5102061629295349,37.61,4.326644079610379,2.5,NA,63,50
"ISL",86.8,NA,NA,52.5,82.25,36,NA,NA,NA,"Iceland","Europe & Central Asia","High income",0,26.1,1.5590540170669551,58514.95964855875,0.745281875133514,2.5,3,NA,100,100,100,9.885573021939706,NA,0,4.7682,0.4272036,20.7846069,NA,78.26644180672268,0.958,64.3,NA,82.94,7.891291645934006,2.5,1.6,8,48.5
"COL",86.5,81.66666666666666,23.75,50.35,89.5,48,54,NA,NA,"Colombia","Latin America & Caribbean ","Upper middle income",6,54.8,-0.031040770001709496,6836.694533153195,0.60433030128479,4.2,75,51.3569412231445,84.375,73.8560448264451,100,11.07551300980575,9.7,0.4528,215.5305,17.0900021,16.4027538,35.47941976036415,70.05009086452763,0.754,49.7,0.048531645288070045,43.83,4.031913245291322,6.6,NA,36,53.2
"CHL",86.3,88.33333333333334,8.25,45.5,115.5,40.5,53,NA,NA,"Chile","Latin America & Caribbean ","High income",0.4,43,0.6318870186805725,14249.3945333306,0.651604175567627,2.5,15,27.1904296875,80,98.7713643041914,100,9.339570131174575,NA,0.51761,137.0112,41.3541069,21.0499763,NA,78.2237712184874,0.8534999999999999,49.6,-0.42923269669214886,60.35,4.803376412956421,2.5,4.1,51,56.2
"CYP",86.1,NA,NA,59.849999999999994,57.25,NA,NA,NA,NA,"Cyprus","Europe & Central Asia","High income",0,31.3,0.7340375781059265,32178.3271484375,0.755520224571228,2.5,68,10.2496576309204,95.625,99.7650627352206,100,4.3279991498996555,NA,0,10.6299,8.6205378,38.7208405,NA,72.49166358543415,0.895,53.9,0.3626411557197571,67.295,NA,2.5,NA,29,41.9
"SGP",85.9,NA,NA,90.3,1,42,NA,NA,NA,"Singapore","East Asia & Pacific","High income",NA,NA,2.230853796005245,66685.6765719091,0.879125714302063,NA,7,3.37001085281372,82.5,100,100,18.686270520076746,NA,2.26649,70.4695,0.013184,5.5545597,NA,71.77703382352942,0.939,53,2.1359050273895264,46.055,NA,NA,1.7,1,57.4
"HRV",85.7,83.8889,17,62.4,48,28,48,NA,NA,"Croatia","Europe & Central Asia","High income",0.3,28.9,0.6469836533069611,16881.77877914855,0.709693968296051,2.5,5,3.89054417610168,93.75,NA,100,12.1961389663383,NA,0.13665,24.1168,8.9877367,38.5095253,NA,81.49550882352939,0.8565,62.3,0.8421642581621805,71.185,NA,2.5,1.9,53,48.8
"ISR",85.4,NA,NA,61.35,53.5,40,42,NA,NA,"Israel","Middle East & North Africa","High income",0.2,37.9,1.190738677978515,42781.4913927234,0.733995318412781,2.5,3,14.3992156982421,80.625,99.4711560405675,100,11.4807924288169,NA,0.32988,87.7537,0.0425068,24.4899502,NA,73.97033907563025,0.918,48,1.4654263655344646,58.595,6.163486249348544,2.5,3.1,6,47.2
"ARM",85.1,93.8889166666667,1.5,57.55,67,NA,45,NA,NA,"Armenia","Europe & Central Asia","Upper middle income",0.8,27.9,-0.24946116656065,4971.00877415144,0.578998804092407,2.5,27,27.2411460876464,89.0625,82.4117239415569,100,10.9949567582509,8.39472,0.03566,9.1331,NA,24.6810169,18.1839751264727,73.25805222277721,0.758,44.9,-0.010643978913625082,69.78999999999999,NA,2.5,0.5,68,61.8
"ALB",85.1,83.33335,20.75,57.05,65.5,31,38,NA,NA,"Albania","Europe & Central Asia","Upper middle income",0,29.4,0.15769794583320607,5287.232644394765,0.634250938892365,4.5,8,10.2368154525756,91.25,70.7360679461577,100,7.191171971947956,2.8,0,7.9529,2.8392792,18.591568,8.831372541150934,73.50609736440029,0.795,52.2,-0.3625197112560272,57.135,NA,4.1,7.5,66,45
"MDA",84.7,91.1111,4.5,74.4,17,39,41,NA,NA,"Moldova","Europe & Central Asia","Upper middle income",0,25.7,-0.236274443566799,3662.56305936108,0.584153532981873,2.5,12,NA,89.0625,75.2243421159045,100,8.53138563915258,6.5,0.73697,12.3203,NA,11.4305801,14.5227431300472,78.63437561751974,0.7665,46.1,-0.15649754305680594,75.545,NA,2.5,4.8,93,41
"ROU",84.6,81.6666666666667,26,69.2,28.5,NA,43,NA,NA,"Romania","Europe & Central Asia","High income",1.8,33.9,-0.04656414943747223,12256.9361694168,0.584187865257263,2.5,10,17.8603286743164,90.625,82.0723248379512,100,13.1666182425897,NA,0.33139,117.0305,23.0985832,24.5213623,NA,77.4605263305322,0.8225,57.3,1.0585920015970867,68.75,NA,2.5,5.7,72,45.7
"PHL",84.2,81.66668333333331,22.5,69.2,30,42.5,34,NA,NA,"Philippines","East Asia & Pacific","Lower middle income",3,40.7,0.1090111769735815,3661.67684735527,0.51596212387085,5.9,78,90.9132614135742,78.75,47.9019041200159,94.8,16.7236776154129,36.61565,0.00544,265.2654,1.744404,15.8686895,9.44116705497318,67.14368186274511,0.7044999999999999,32.1,0.8549777468045553,44.025000000000006,NA,5.2,5.7,96,45.7
"KGZ",83.8,93.33333333333334,3,49.7,92,17,24,NA,NA,"Kyrgyz Republic","Europe & Central Asia","Lower middle income",0.3,26.4,-0.8906194567680354,1238.176304487055,0.596617102622986,6.1,50,64.4912490844726,76.875,76.4871521039571,99.7,13.1230416516207,2.43932,7.01922,21.9396,NA,6.7056727,17.1843996413638,74.40543430099314,0.6904999999999999,42.8,-0.2759760171175003,57.08,NA,4.8,1.1,76,42.4
"MNG",83.6,91.66668333333331,3,79.5,8.5,NA,33,NA,NA,"Mongolia","East Asia & Pacific","Upper middle income",0.2,31.4,-0.448230341076851,4331.210910331385,0.614397525787354,2.5,39,NA,90.625,39.2801550444961,100,6.707626023664799,17.87869,0.20964,62.7903,NA,19.7983665,32.7576718732935,64.69436642135642,0.742,37.2,-1.2098450859387715,59.25,NA,8,0.5,110,41
"MKD",83.3,77.2222333333333,33.5,62.25,50.25,31,NA,NA,NA,"North Macedonia","Europe & Central Asia","Upper middle income",2.7,33.5,-0.06635108776390555,6322.20684251663,0.55734920501709,2.5,3,33.0288696289062,85,80.4470258702833,100,13.1851623117228,NA,1.41647,11.1838,NA,15.3937559,13.1585091322008,72.46901727096434,0.772,50.3,0.1035161738594373,71.395,NA,3.6,6.9,74,42.2
"RUS",83.1,82.2222333333333,20.75,60.2,55,47,42,NA,NA,"Russian Federation","Europe & Central Asia","High income",0.2,35.1,-0.7043628394603729,10225.30517578125,0.681419610977173,2.5,14,3.76424741744995,73.125,76.2331071384836,100,12.52778466633185,NA,1.02659,2578.9908,2.2433422,11.4531889,NA,73.78628001508297,0.826,46.7,0.185244287053744,36.795,5.84852154514726,2.5,0.5,84,49.1
"PSE",81.9,77.22223333333335,38.25,73.15,18.5,8,15,NA,NA,"West Bank and Gaza","Middle East & North Africa","Lower middle income",0.5,33.7,-1.0557932853698726,2981.42103784557,0.579996645450592,NA,20,NA,26.25,80.3301824695162,100,11.1956379953562,19.5,6.32373,NA,NA,8.359252,NA,NA,0.7155,NA,NA,33.42,NA,NA,4,NA,NA
"ZAF",81.8,78.33335,33,51.8,85.75,34,30,67.7,70.3,"South Africa","Sub-Saharan Africa ","Upper middle income",20.5,63,-0.182987164705992,5765.6402771700905,0.425453394651413,8.1,127,82.0170516967773,88.125,NA,86.5,12.69529933364765,24.2,1.28776,533.8207,15.4969616,9.2616148,17.76542430974505,64.00319789915966,0.72,42.7,0.022644854616373777,77.08,3.294470005299129,7.9,9,129,45.8
"MLT",81.2,NA,NA,50.05,93.5,NA,37,NA,NA,"Malta","Middle East & North Africa","High income",0.3,31.4,0.6007097661495205,32462.889211774447,0.709248304367065,2.5,3,10.1601848602294,91.25,99.7724155281172,100,6.25690061285993,NA,0,2.1782,7.4449396,30.6358299,NA,75.52944579293255,0.9145000000000001,66.9,NA,60.655,NA,4.6,1.9,19,40.2
"BRA",81.1,82.77776666666665,21.5,63.15,47.25,48.5,58,NA,NA,"Brazil","Latin America & Caribbean ","Upper middle income",3.5,52,-0.5675118267536166,9145.06905337489,0.551497936248779,3.9,72,46.8978614807128,85,87.2587154718951,100,13.2029798097875,14.8971,0.44079,1310.4989,26.8214855,30.3046875,41.860428374343,73.68939303539598,0.756,53,-0.018066715449094772,57.015,5.311443625566045,4.7,9.9,83,51.2
"SRB",80.8,88.8889,7.5,65.65,38.5,24,NA,NA,NA,"Serbia","Europe & Central Asia","Upper middle income",1.2,33.1,0.03640515333972869,8033.97864264121,0.676606357097626,2.5,10,8.84685134887695,93.75,75.075247600673407,100,14.063995596442151,NA,1.01711,NA,NA,8.13799,13.68876490704455,77.33697174688058,0.803,49.8,0.6193792025248209,60.334999999999994,NA,2.5,4.1,80,45
"THA",80.8,81.66666666666666,23.25,45.8,107.25,27,42,NA,NA,"Thailand","East Asia & Pacific","Upper middle income",0,34.9,0.149574987590313,6333.231679857695,0.609310984611511,5.6,29,23.4157752990722,78.125,NA,99.9,25.981468535437052,6.79482,0.09383,463.8545,4.4431028,18.547802,9.875715679212705,74.73862913165266,0.801,45.7,1.0571822722752888,52.695,NA,5.2,1.3,31,68.2
"LKA",79.3,80.5555833333333,25.25,50.4,89.75,NA,16,NA,NA,"Sri Lanka","South Asia","Lower middle income",1,37.7,-0.322120323777199,4002.163726302915,0.598324298858643,4.1,29,14.8060665130615,65.625,47.1275328737655,100,18.786078566462947,NA,0.39502,38.8045,0.0746256,29.8619995,18.08530504049545,69.40149898777692,0.781,38.8,-0.4723828931649526,43.99,NA,5.3,1.2,47,34.1
"KAZ",79.3,82.77778333333336,23.25,62.7,50.75,26,42,NA,NA,"Kazakhstan","Europe & Central Asia","Upper middle income",0,29.2,0.14478535950183902,11255.8717569385,0.628506422042847,2.5,13,10.4149551391601,75.625,89.3499692261019,100,12.8375053453721,0.79376,2.8957,331.3255,50.7280922,10.0298576,46.0392276738645,71.64826315253374,0.8125,47.8,-0.43148351709047955,47.075,NA,2.5,0.5,77,46.1
"ECU",79.2,66.1111166666667,68.25,65.65,39.75,23,35,NA,NA,"Ecuador","Latin America & Caribbean ","Upper middle income",3.5,45.05,-0.401761665940285,6193.090669819496,0.594254851341248,13.9,66,65.9371261596679,89.375,67.0895117739847,100,12.6954174196131,NA,2.54171,76.9437,19.1484432,23.4213009,16.8929877227666,70.43423837535013,0.7355,51.3,-1.0561447143554688,62.56,NA,13.9,13,82,50.8
"UKR",79.1,72.2222,50,62,48.75,40.5,55,NA,NA,"Ukraine","Europe & Central Asia","Upper middle income",0,25.6,-0.4272196888923645,2017.30474853516,0.631387114524841,5.8,17,NA,85,87.6207250140124,100,7.92534577062929,1.1,1.9901,208.4553,9.2397871,12.9621906,13.95804854995345,76.51769790552585,0.774,54.6,0.3106880486011505,58.474999999999994,NA,4.8,4.3,101,38.9
"IDN",79,87.22223333333335,10.75,69.1,30,35.5,40,NA,NA,"Indonesia","East Asia & Pacific","Upper middle income",2,35.8,0.508236944675446,4108.772322231765,0.540038466453552,7.2,173,52.82275390625,70.625,30.2661667151466,100,18.5019573552771,19.41083,1.15297,1240.7843,3.0576005,12.1656971,21.4398001415702,70.16289733893555,0.707,33.6,-0.13652037580808005,52.05,NA,5.9,0.5,87,50.4
"URY",78.8,78.8889,33.75,54.75,75.5,53,55,NA,NA,"Uruguay","Latin America & Caribbean ","High income",0.2,40.6,0.849918693304062,18254.8011451255,0.59876024723053,2.5,19,43.618366241455,88.75,NA,100,9.770594563395498,5.04714,0,41.9078,0.752423,3.6750729,NA,77.73837360580595,0.815,44.1,-0.02476937820514043,71.18,NA,2.5,2.9,35,40.3
