"iso3c","SPI.INDEX","SCI","SCI_rank","ODIN_score","ODIN_rank","odb","gdb","iiag_overall","iiag_stats","country","region","income","SI.POV.DDAY","SI.POV.GINI","GE.EST","NY.GDP.PCAP.KD","HD.HCI.OVRL","SN.ITK.DEFC.ZS","SH.STA.MMRT","SE.LPV.PRIM","SG.LAW.INDX","SH.H2O.SMDW.ZS","EG.ELC.ACCS.ZS","NV.IND.MANF.ZS","EN.POP.SLUM.UR.ZS","subsidies","EN.GHG.ALL.MT.CE.AR5","ER.MRN.PTMR.ZS","ER.LND.PTLD.ZS","DT.TDS.DECT.EX.ZS","sdg_index_score","hdi_value","env_perform_index","eci_value","press_free_score","better_life_index","undernourish","severe_food_insecurity"
"CAN",89.3,NA,NA,77.2,11.8,72.948,61,NA,NA,"Canada","North America","High income",0.2,31.7,1.588100361824036,44304.3857948049,0.7980340719223022,2.5,11,4.30185747146606,100,99.03926904414573,100,9.072308949740528,NA,0.13133,746.70938,7.7352357376,11.577687056,NA,78.27275653966132,0.9336000000000001,60.7,0.632076640923818,83.80799999999999,8.063151323710132,2.5,1.0333333333333332
"USA",89.2,NA,NA,71.88,18.7,78.986,68,NA,NA,"United States","North America","High income",0.76,40.7,1.299647164344788,62821.45586798734,0.7041481256484983,2.5,20.8,9.69157028198242,91.25,97.2860730345904,100,10.61874191664258,NA,0.04835,5937.69228,27.115031766,12.767768426,NA,75.5915760026738,0.9244,59.2,1.6034809748331706,74.098,8.239912990480962,2.5,0.7333333333333333
"AUT",88.8,NA,NA,66.74000000000001,32.6,55.932500000000005,NA,NA,NA,"Austria","Europe & Central Asia","High income",0.5599999999999999,30.419999999999998,1.483577680587768,45776.517275255916,0.7511264204978946,2.5,5,14.969030380249,96.375,98.89889036285382,100,16.54009637336522,NA,0.21789,79.39022,NA,29.159092722,NA,82.91522906485365,0.9162,71.66666666666667,1.7132932146390278,81.318,7.325437200889651,2.5,1.2666666666666666
"JPN",88.7,NA,NA,67.8,28.8,58.45,NA,NA,NA,"Japan","East Asia & Pacific","High income",0.7,32.9,1.54183714389801,35917.80096842916,0.811913251876831,3.14,4,3.59502744674682,78.75,98.6301271468701,100,19.91740123974452,NA,0.05283,1185.46882,11.628511976,29.604546798,NA,79.1888991124072,0.9234,64.56666666666666,2.49126660823822,68.244,5.669135416904191,2.8000000000000003,0.8333333333333334
"PRT",88.7,NA,NA,66.53999999999999,31.1,40.7825,42,NA,NA,"Portugal","Europe & Central Asia","High income",0.24000000000000002,34.26,1.0109803676605218,21286.17807554194,0.7718476891517639,2.5,11.8,7.97772073745727,100,95.07096037551428,100,12.16050967804734,NA,0.2291,59.83988,16.801736597999998,22.913458256,NA,79.73067538515406,0.863,59.766666666666666,0.5729142526785532,87.42,6.332620251965729,2.5,3.4333333333333336
"CZE",88.6,NA,NA,69.42,25.4,47.1,45,NA,NA,"Czechia","Europe & Central Asia","High income",0.060000000000000005,26.02,1.021555614471437,20168.01792537336,NA,2.5,3,14.2066078186035,93.75,97.88285286413173,100,20.39532288734122,NA,0.14984,123.63878,NA,22.16450276,NA,81.82128282874447,0.8938,65.46666666666667,1.7845317125320435,78.456,7.280098844843278,2.5,1.5666666666666667
"FRA",88.5,NA,NA,64.16,39,72.556,66,NA,NA,"France","Europe & Central Asia","High income",0.1,31.28,1.216169953346254,38088.79532493826,0.7613818287849425,2.5,8,6.63674163818359,100,99.58770330100211,100,9.505616218115554,NA,0.36064,430.68912,49.748801172,27.6793577,NA,81.80562103545964,0.901,69.83333333333333,1.343796153863271,77.904,7.2056325236929935,2.5,1.1
"EST",88.5,NA,NA,72.38,18.8,48.565,67,NA,NA,"Estonia","Europe & Central Asia","High income",0.36,31.38,1.277633810043334,20616.45790026908,0.7765876173973085,2.5,5,NA,97.5,97.00436566823954,100,12.517528372436521,NA,0.18789,15.1729,18.750073762,21.187162754,NA,81.11780854672288,0.8912,67.46666666666667,0.9558478395144144,86.802,7.202513225494309,2.5,0.7666666666666667
"CHE",87.9,NA,NA,65.74000000000001,33.1,49.0525,NA,NA,NA,"Switzerland","Europe & Central Asia","High income",0,33.760000000000005,2.012682104110718,87975.99313803506,0.758113634586334,2.5,7,NA,87.125,96.7000000462002,100,18.2689898254629,NA,0.34084,46.00976,NA,11.673038267999999,NA,80.91839921984419,0.9591999999999999,71.73333333333333,2.231739362080892,87.086,8.42437758464399,2.5,0.5333333333333333
"AUS",87.4,NA,NA,66.02,33.2,68.2,55,NA,NA,"Australia","East Asia & Pacific","High income",0.5,34.3,1.540415692329406,59785.55237706714,0.7723584175109863,2.5,3.4,9.0636396408081,96.875,NA,100,5.489001784105386,NA,0.55392,573.8888000000001,42.882795358,20.138628472,NA,75.60976633085053,0.9434,66.03333333333333,-0.5027967840433121,79.092,8.079608001516057,2.5,3.433333333333333
"MEX",87.4,91.11112,8.4,69.22,26.1,55.83,51,NA,NA,"Mexico","Latin America & Caribbean ","Upper middle income",1.7,44.44,-0.280130460858345,9875.05886208972,0.6126912951469422,3.22,58.8,47.634178161621,88.75,42.94332926229238,99.8,20.46856047410926,17.6,1.5861,787.0684,21.554268904,14.534129306,12.053593983683491,69.33468207760377,0.769,47.43333333333334,1.0249140560626984,51.321999999999996,4.249950624706364,2.6,3.7333333333333334
"IRL",87.4,NA,NA,73.84,15.9,41.0075,46,NA,NA,"Ireland","Europe & Central Asia","High income",0.1,30.060000000000002,1.459189319610594,88883.51260466072,0.7968142867088316,2.5,5.2,2.3305127620697,99.5,95.90681946768142,100,33.38285404223616,8.5,0.71175,61.3609,2.331943637,14.435596136,NA,79.52035144512351,0.9402,65.33333333333333,1.5550115704536438,87.74,7.257451188290553,2.5,3.3
"SVK",87.2,NA,NA,76.52,12.4,38.58,51,NA,NA,"Slovak Republic","Europe & Central Asia","High income",0.12000000000000001,23.94,0.4300214827060702,18606.87941544724,0.6679998874664306,3.18,5,22.1248226165771,87.375,99.14200954921262,100,18.48852869389466,NA,0.27283,44.850860000000004,NA,37.587031082,NA,79.41904718495354,0.8563999999999999,64.46666666666667,1.2995522022247314,78.464,6.637526230601206,2.6666666666666665,1.5
"HUN",87,NA,NA,61.74,43,28.2225,NA,NA,NA,"Hungary","Europe & Central Asia","High income",0.38,29.46,0.49849287867546077,15533.73572984482,0.6874827504158023,2.5,14.8,9.15569114685058,93.75,99.3478062440586,100,17.14449213904364,7.2,0.20669,68.19406000000001,NA,22.599783374,NA,79.59431098056356,0.8483999999999999,59.53333333333333,1.418018639087677,65.944,6.179156752996523,2.5,2.1666666666666665
"GRC",86.9,NA,NA,58.84,51.8,35.714999999999996,37,NA,NA,"Greece","Europe & Central Asia","High income",0.66,33.08,0.343646004796028,19534.25655826982,0.6909663677215577,2.5,7.6,NA,99,98.91011971508995,100,8.563518320449544,NA,1.08306,75.83828,4.517864196,35.216332134,NA,77.95923495352687,0.8856,64.2,0.14584039027492204,64.766,5.064537181804398,2.5,1.5666666666666667
"KOR",86.7,NA,NA,69.56,23.9,63.7625,64,NA,NA,"Korea, Rep.","East Asia & Pacific","High income",0,32.92,1.3644480705261242,32721.316049539917,0.8059300303459164,2.5,7.6,3.23008060455322,86.875,99.18383376518707,100,25.08630002687606,NA,0.085319999999999993,722.60302,2.4502848036000002,16.667395236,NA,77.91838145739065,0.921,54.666666666666664,2.0705671310424805,74.17399999999999,6.079896110048965,2.5,0.7
"LTU",86.6,NA,NA,72.38,17.8,NA,37,NA,NA,"Lithuania","Europe & Central Asia","High income",0.32,36.28,1.016821622848511,18253.50926025302,0.7101774096488951,2.5,8.6,3.27572441101074,93.75,94.94720480700875,100,15.66338783796116,NA,0.65355,21.92134,25.592632612,17.055208187999998,NA,76.28776802107207,0.8788,60.96666666666666,0.8422077894210815,81.506,6.596338630180303,2.5,1.9
"TUR",86.5,80.66668666666666,29.2,53.519999999999996,70.3,29.776,NA,NA,NA,"Turkiye","Europe & Central Asia","Upper middle income",0.44,44,-0.1491870004683731,13294.42621467722,NA,2.5,17,18.5090885162353,82.5,NA,100,20.2819937043974,14.12611,0.44688,649.6063,1.099010445,4.2584872439999994,27.741317642453858,70.57922639786683,0.837,35.36666666666667,0.5086687753597895,44.519999999999996,4.326644079610379,2.5,NA
"LVA",85.6,NA,NA,63.160000000000004,41.4,27,49,NA,NA,"Latvia","Europe & Central Asia","High income",0.38,34.62,0.8249761581420888,15882.10788203578,0.7129358172416687,2.5,18.8,8.4379014968872,100,96.76851819614741,100,11.68667719203234,NA,0.58814,11.54154,16.038084186,18.186446604,NA,80.42626171059332,0.8662,60.96666666666667,0.6322124600410461,81.018,6.313278600890371,2.5,0.7999999999999999
"NZL",85.6,NA,NA,67.24,29.5,71.94,66,NA,NA,"New Zealand","East Asia & Pacific","High income",NA,NA,1.469421362876892,41112.41141692632,0.7749887466430662,2.5,7,10.8613500595092,96.875,99.44557184663516,100,9.100247737053198,NA,0.00676,84.93388,30.421775582,33.27771545,NA,77.2339797416018,0.9362,61.766666666666666,0.22626540313164392,87.258,7.674513246753308,2.5,3.5666666666666664
"GEO",85.3,87.77778666666669,11.4,64.58,33.7,24.895,40,NA,NA,"Georgia","Europe & Central Asia","Upper middle income",4.9399999999999995,34.32,0.708179247379303,5345.5088964471515,0.576952183246613,4.76,27.6,13.5263748168945,87.125,68.83115023166108,100,9.2496944340387,7.2324720000000005,0.05233,17.770500000000002,0.6677558884,10.0189877642,26.21629302683198,74.68855433537051,0.8036000000000001,42.56666666666666,-0.13670198433101177,66.956,NA,3,9.566666666666666
"BEL",85.1,NA,NA,49.2,88.1,44.177499999999995,NA,NA,NA,"Belgium","Europe & Central Asia","High income",0.04,26.6,1.1082669258117679,43241.98786075458,0.7608876824378964,2.5,5,8.52700424194335,100,99.72946994257428,100,11.71735693051784,NA,0.72468,118.22724,37.215658016,17.387720764,NA,79.35261880252101,0.933,66.1,1.2158703207969666,83.8,7.333363972749193,2.5,1.3
"GBR",85,NA,NA,56.8,60.7,90.2,65,NA,NA,"United Kingdom","Europe & Central Asia","High income",0.32,32.519999999999996,1.284177160263062,46039.579565861,0.7817508101463314,2.5,9.8,3.39390325546264,97.5,99.81870022718964,100,8.564845129053325,NA,0.43898,426.1253,41.13651425,28.344362074,NA,81.42589779411765,0.9294,77.2,1.7265424728393555,78.094,7.475770567260113,2.5,1.1333333333333333
"BGR",84.5,87.11111333333334,13.2,68,27.8,34,50,NA,NA,"Bulgaria","Europe & Central Asia","High income",0.64,39.56,-0.08757710978388801,8810.45122795936,0.6251739740371701,2.68,7,18.1856994628906,90.625,95.8421294341931,99.74,NA,NA,4.13414,63.363659999999996,8.1083946312,40.953107458,NA,74.73485180322129,0.8048000000000001,55.03333333333333,0.6129080355167389,62.928,NA,2.566666666666667,2.933333333333333
"CRI",84.2,89.1111,9.9,56.06,62.6,28.398,34,NA,NA,"Costa Rica","Latin America & Caribbean ","Upper middle income",1.28,48,0.2159656651318074,13254.31063161494,0.6235597968101502,2.5,21.4,34.0240669250488,87.875,80.51271513348078,99.92,13.25390725084968,3.7287339999999998,0.13578,16.30818,13.1950284774,27.661154042,12.976312402609492,73.11437258403362,0.8124,51.43333333333333,0.13874120327333608,86.918,5.258390929128558,3.066666666666667,2.7666666666666666
"LUX",84,NA,NA,62.1,41.5,NA,NA,NA,NA,"Luxembourg","Europe & Central Asia","High income",0.08,33.14,1.7703143119812,107690.0463156262,0.6873906254768374,2.5,6,NA,100,99.52559863977974,100,4.40692323772589,NA,0.00333,9.21674,NA,53.067829366,NA,77.82984676299498,0.9244,76.56666666666666,NA,82.622,8.204175047406853,2.5,0.7
"ARM",83.4,92.88890666666668,3.6,55.44,65,NA,45,NA,NA,"Armenia","Europe & Central Asia","Upper middle income",0.7000000000000001,27.759999999999998,-0.2623426347970962,4516.473198746898,0.5795442342758176,2.5,26.6,27.2411460876464,87.125,82.576178429565,100,11.41558114838676,8.39472,0.03566,9.32238,NA,24.455647692,29.42011210252186,73.40365386241362,0.7666000000000001,48.5,-0.1098671443760395,70.634,NA,2.5,0.6
"ISR",83.2,NA,NA,57.9,56.2,45.565,42,NA,NA,"Israel","Middle East & North Africa","High income",0.34,37.96,1.194565868377686,40765.412095009844,0.7398091435432436,2.5,3,14.3992156982421,80.625,99.48843539454975,100,11.5218577731657,NA,0.32988,85.9482,0.0405158842,23.581280116,NA,73.92531633403361,0.9186000000000001,54,1.4450485308965046,64.92999999999999,6.163486249348544,2.5,2.3333333333333335
"CHL",82.8,91.11111333333334,5.9,39.94,125,44.556,53,NA,NA,"Chile","Latin America & Caribbean ","High income",0.76,45.06,0.68452228307724,13772.4561992258,0.6543363690376282,2.54,15,27.1904296875,79.5,98.77136669539408,100,9.033989037216411,NA,0.51761,136.03492,41.310008956,20.863206686,NA,77.91924265183346,0.8553999999999999,50.53333333333333,-0.4044165660937627,67.97,4.803376412956421,2.533333333333333,3.833333333333333
"ISL",82.8,NA,NA,53.2,71.9,46.5775,NA,NA,NA,"Iceland","Europe & Central Asia","High income",0,26.1,1.533991360664368,56334.35807201562,0.74491171836853,2.5,3,NA,100,99.99999969209539,100,9.390751310271503,NA,0,4.5,0.41610599660000003,20.253935936,NA,78.01749856442576,0.9578,66.46666666666667,NA,84.136,7.891291645934006,2.5,1.4666666666666668
"BLR",82.7,85.33332666666668,17.9,54.9,66,13,19,NA,NA,"Belarus","Europe & Central Asia","Upper middle income",0,24.58,-0.7302968680858613,6333.385976681564,0.700078189373016,2.5,1,NA,75.625,93.00173898567826,100,22.577679225397702,2.581756,0.14274,101.0033,NA,12.047189852,12.135510298183052,78.156923558358,0.8134,53.233333333333334,0.8089684943358103,44.912,NA,2.5,NA
"CYP",82.5,NA,NA,62.48,43.6,NA,NA,NA,NA,"Cyprus","Europe & Central Asia","High income",0.04,31.36,0.7922394037246704,30120.38828125,0.7553395867347719,2.5,67.2,10.2496576309204,93.625,99.76512449371056,100,4.93634765782914,NA,0,10.23212,6.9210462624,38.634487046000004,NA,72.66601418067226,0.8932,58.9,0.4379847894112269,74.51,NA,2.5,NA
"ROU",82.2,80.66668,30,65.72,32.4,NA,43,NA,NA,"Romania","Europe & Central Asia","High income",1.8,34.22,-0.1517071376554667,11661.72757276126,0.5862323164939878,2.5,10,17.8603286743164,90.625,82.0236438711314,100,14.97336896073422,NA,0.33139,117.783,23.098055924,24.52082705,NA,77.14080758053221,0.8253999999999999,59.333333333333336,1.0440719525019329,72.202,NA,2.5,4.266666666666667
"SGP",81.9,NA,NA,88.56,1,43.95,NA,NA,NA,"Singapore","East Asia & Pacific","High income",NA,NA,2.245124244689938,64297.6018734659,0.8807173013687134,NA,6.8,3.37001085281372,82.5,100,100,19.32953088923832,NA,2.26649,70.54208,0.0131840024,5.554559821600001,NA,70.89475587651728,0.9391999999999999,54,2.1344774961471558,46.054,NA,NA,1.1
"MDA",81.7,92.44444666666666,4.2,72.39999999999999,18.2,38.715,41,NA,NA,"Moldova","Europe & Central Asia","Upper middle income",0,25.82,-0.3770760387182236,3528.177531175542,0.5836750149726873,2.5,12,NA,88.125,74.78838304023255,100,9.340745218128369,6.5,0.73697,12.51308,NA,8.518562068,14.70293930362212,78.2250875427728,0.768,44.4,-0.21038970102866492,71.422,NA,2.5,4.733333333333333
"KGZ",81.3,91.11111333333334,7.2,49.4,84,17,24,NA,NA,"Kyrgyz Republic","Europe & Central Asia","Lower middle income",0.66,28.06,-0.7731133937835691,1180.822589456566,0.5960029244422914,5.4799999999999995,49.4,64.4912490844726,76.875,75.96784647810676,99.78,12.986261089865401,3.3337019999999997,7.01922,21.39222,NA,6.7050768282,21.06689417544694,74.85266687137924,0.6946,39.43333333333333,-0.2351147954662641,64.736,NA,4.633333333333333,1
"ALB",81.2,84.00001333333333,20.7,56,60.4,31,38,NA,NA,"Albania","Europe & Central Asia","Upper middle income",0,29.54,0.012397789210081021,4878.365403536342,0.6331340074539188,4.4,7.4,10.2368154525756,91.25,70.70366467483126,100,7.067506814454334,3.3,0,8.064119999999999,2.839279115,18.590865179999998,14.713499509303434,73.6300743315508,0.8016000000000001,49.43333333333334,-0.4299413114786148,64.718,NA,4.1,8
"MNG",80.5,85.11110666666666,20.6,78.34,9.6,NA,33,NA,NA,"Mongolia","East Asia & Pacific","Upper middle income",0.5,32.18,-0.413214698433876,4225.961867305266,0.6149798750877383,3.48,39.2,NA,87.25,38.153555544878,99.68,7.070030876308812,18.673198,0.20964,64.52898,NA,19.38146791,51.0341045760617,64.98337794868326,0.741,33,-1.1787502864996593,66.082,NA,6.566666666666666,0.5
"RUS",80.1,82.4444533333333,23.6,58.56,52.4,43.706,42,NA,NA,"Russian Federation","Europe & Central Asia","High income",0.18000000000000002,34.940000000000005,-0.3412163227796554,10034.3810546875,0.6909257769584656,2.5,12.6,3.76424741744995,73.125,76.11823887743564,99.94,12.80813352080526,NA,1.02659,2544.9883,2.5358293121999997,10.76267894,NA,73.77171630844646,0.8341999999999999,44.9,0.23827509333690008,45.13,5.84852154514726,2.5,0.5
"PHL",79.8,81.77777999999998,26.3,65.34,32,33.408,34,NA,NA,"Philippines","East Asia & Pacific","Lower middle income",3,41.34,0.07611557617783554,3489.77563603406,0.5225728154182439,5.84,78.6,90.9132614135742,78.75,47.6184336239981,95.76,17.45241467496156,36.756260000000005,0.00544,256.18126,1.5102679916000001,15.670201708,10.20829171416343,66.95963117997199,0.7081999999999999,33.13333333333333,0.7860770523548126,50.992000000000004,NA,5.1,4.833333333333333
"COL",79.7,84.66667333333332,18.8,52.64,73.4,40.096000000000004,54,NA,NA,"Colombia","Latin America & Caribbean ","Upper middle income",6.8,53.9,-0.013743753358721751,6492.49542293155,0.6031950116157533,4.26,73,51.3569412231445,83.375,73.62342713130528,99.82000000000001,11.00112089504026,9.7,0.4528,210.56271999999998,17.114449404,16.286246656,39.85692475227486,69.91829177330023,0.76,48.333333333333336,0.0942822452634573,51.688,4.031913245291322,6.1,NA
"BRA",79.7,80.22221333333331,31.2,59.44,51,49.424,58,NA,NA,"Brazil","Latin America & Caribbean ","Upper middle income",4.04,51.86,-0.465567582845688,8859.163902326303,0.5503430962562558,3.58,69.8,46.8978614807128,84.375,86.45480156809623,99.8,11.86715294625478,14.8971,0.44079,1304.65804,26.782009304,30.1222205,46.85394145243526,73.0952038228928,0.7602,49.266666666666666,0.04914477188140154,62.188,5.311443625566045,3.6333333333333333,6.9
"SRB",78.8,89.55556,7.8,58.02,55,24,NA,NA,NA,"Serbia","Europe & Central Asia","Upper middle income",1.5,33.76,0.005095797870308157,7451.071367273946,0.693182182312012,2.5,10,8.84685134887695,93.75,75.03423041462342,99.96,14.628669231390921,NA,1.01711,NA,NA,7.8246352738,17.69972597918308,77.66653610162815,0.8054,49.63333333333333,0.6003121038277944,65.16799999999999,NA,2.5,3.5
"THA",78.7,84.22222666666666,19.4,41.26,116.5,24.1275,42,NA,NA,"Thailand","East Asia & Pacific","Upper middle income",0.02,34.92,0.1963257700204848,6251.7359453736235,0.6108210682868956,5.8999999999999995,29,23.4157752990722,78.125,NA,99.94,26.06149310994614,7.002132,0.09383,457.25726,3.9161640874,18.599965194,8.58501178864053,74.15421253501401,0.7982,43.06666666666667,1.0494579275449116,54.226,NA,5.6,1.0666666666666667
"KAZ",78.7,89.33334,11.2,58.54,54.9,24.8925,42,NA,NA,"Kazakhstan","Europe & Central Asia","Upper middle income",0,28.86,0.09876765087246908,10987.97101897338,0.6582172155380253,2.5,13.2,10.4149551391601,71.875,89.34116298475062,100,12.76453233617646,0.79376,2.8957,317.98944,40.792315718,8.686303768,48.1430246575221,71.84692092206201,0.8138,44.46666666666667,-0.38933412233988446,47.388,NA,2.5,0.5
"ZAF",78.1,78.00001333333334,37.3,51.6,77,28.934,30,67.5,69.3,"South Africa","Sub-Saharan Africa ","Upper middle income",20.5,63,-0.052319803833961676,5777.978121522342,0.4248725831508636,7.4,125.2,82.0170516967773,88.125,NA,87.46,12.31532312021408,24.196426,1.28776,555.32452,15.302558932,8.8373792838,20.05292972449092,63.736757082378404,0.7243999999999999,41,0.0776676272507757,77.594,3.294470005299129,6.966666666666667,8.166666666666666
"MKD",77.6,80.66667999999999,28.7,61.74,44.4,34.565,NA,NA,NA,"North Macedonia","Europe & Central Asia","Upper middle income",2.7,33.5,-0.07005989663302895,6082.92961689424,0.5529577732086182,2.84,3,33.0288696289062,85,80.40769417115978,100,13.30900279481808,NA,1.41647,11.06298,NA,12.557834038000001,13.78385333782699,72.77830376308741,0.776,53.33333333333333,0.09749945780883233,69.636,NA,3.2333333333333334,5.966666666666667
"MLT",77.4,NA,NA,48.06,90.6,NA,37,NA,NA,"Malta","Middle East & North Africa","High income",0.3,31.32,0.7745540857315062,30745.1417491002,0.7090967535972592,2.5,3.2,10.1601848602294,89.75,99.7935768143269,100,6.399064966744792,NA,0,2.1429,7.4448842876,30.542557946000002,NA,75.60931838235294,0.911,70.93333333333334,NA,66.19,NA,3.6999999999999997,1.4
"HRV",77.3,83.11111999999999,22.1,58.519999999999996,52.4,28,48,NA,NA,"Croatia","Europe & Central Asia","High income",0.3,29.02,0.5455806136131286,15468.84593663238,0.7136283040046693,2.5,5,3.89054417610168,93.75,NA,100,12.03978636588838,NA,0.13665,24.37066,8.8991324906,38.400135228,NA,81.30471043417366,0.8563999999999999,61.86666666666667,0.8198293447494507,71.376,NA,2.5,1.6
"LKA",76.9,82.44445999999998,22.8,49.42,84.1,NA,16,NA,NA,"Sri Lanka","South Asia","Lower middle income",1,37.7,-0.192712277173996,4210.615614340364,0.5973335504531864,3.96,29.2,14.8060665130615,64.125,47.406215854740644,99.96,17.59680827027404,NA,0.39502,40.84094,0.0746257698,29.861999702,27.479052135725,69.80569121944231,0.7774,37.5,-0.5017011910676956,52.846000000000004,NA,5.8,1.0666666666666667
"EGY",76.7,85.11112666666668,16.9,40.14,120.1,13.303333333333333,22,48.475,68.925,"Egypt, Arab Rep.","Middle East & North Africa","Lower middle income",1.5,31.9,-0.3685941994190214,3890.093247089384,0.494002199172974,7.64,17.2,56.1192741394043,48.375,NA,100,15.74483914764964,0.89992,3.73367,359.11424,4.9514877082,13.136052998,26.3649608331075,69.1484293330444,0.73,40.833333333333336,-0.14747972351809344,38.828,NA,6.633333333333334,7.533333333333333
"PSE",76.6,75.55556,45.5,66.02,31.6,8,15,NA,NA,"West Bank and Gaza","Middle East & North Africa","Lower middle income",0.5,33.7,-0.8721849441528318,3063.046155507726,0.5783431172370911,NA,20,NA,26.25,79.95135059522777,100,11.17328104803438,19.5,6.32373,NA,NA,8.3592519952,NA,NA,0.72,NA,NA,46.978,NA,NA,3.8333333333333335
"ECU",76,68.44445333333334,65,61.92,43,27.36,35,NA,NA,"Ecuador","Latin America & Caribbean ","Upper middle income",4.14,45.78,-0.3766638666391374,5909.885532675532,0.5946477890014652,13.6,67.6,65.9371261596679,89.375,66.93208969250706,99.6,12.832337713297541,NA,2.54171,72.83146,15.666929774,22.820037076,26.72780497925656,70.54082603291317,0.751,49.6,-1.0526155829429626,65.55799999999999,NA,13.8,12.466666666666667
